year;month;day;hours;minutes;seconds;milliseconds;elapsed_s;velocity_m_s;distance_m
2026;3;17;10;42;9;21;0.050;0.000000;2.4372
2026;3;17;10;42;9;62;0.091;0.000000;2.4372
2026;3;17;10;42;9;111;0.139;0.000000;2.4372
2026;3;17;10;42;9;161;0.189;0.000000;2.4372
2026;3;17;10;42;9;195;0.223;0.000000;2.4372
2026;3;17;10;42;9;244;0.272;0.020260;2.4372
2026;3;17;10;42;9;296;0.324;0.035454;2.4372
2026;3;17;10;42;9;328;0.356;0.046850;2.4372
2026;3;17;10;42;9;376;0.404;0.055397;2.4372
2026;3;17;10;42;9;405;0.433;0.055397;2.4672
2026;3;17;10;42;9;466;0.494;0.055397;2.4072
2026;3;17;10;42;9;501;0.530;0.055397;2.3772
2026;3;17;10;42;9;545;0.573;0.055397;2.4072
2026;3;17;10;42;9;579;0.607;0.102326;2.4372
2026;3;17;10;42;9;629;0.657;0.137523;2.4372
2026;3;17;10;42;9;663;0.691;0.163921;2.4372
2026;3;17;10;42;9;711;0.739;0.183719;2.4372
2026;3;17;10;42;9;757;0.786;0.298040;2.4672
2026;3;17;10;42;9;792;0.820;0.383780;2.4672
2026;3;17;10;42;9;845;0.873;0.448085;2.4672
2026;3;17;10;42;9;887;0.915;0.518399;2.4372
2026;3;17;10;42;9;917;0.946;0.571135;2.4372
2026;3;17;10;42;9;962;0.990;0.608633;2.4672
2026;3;17;10;42;10;11;1.040;0.636756;2.4672
2026;3;17;10;42;10;45;1.073;0.657848;2.4672
2026;3;17;10;42;10;95;1.123;0.653636;2.4672
2026;3;17;10;42;10;144;1.172;0.650477;2.4672
2026;3;17;10;42;10;194;1.223;0.648107;2.4672
2026;3;17;10;42;10;230;1.258;0.648107;2.4672
2026;3;17;10;42;10;278;1.306;0.648107;2.4672
2026;3;17;10;42;10;312;1.340;0.648107;2.4672
2026;3;17;10;42;10;345;1.373;0.648107;2.4672
2026;3;17;10;42;10;395;1.423;0.648107;2.4672
2026;3;17;10;42;10;441;1.470;0.648107;2.4672
2026;3;17;10;42;10;476;1.504;0.648107;2.4672
2026;3;17;10;42;10;527;1.555;0.648107;2.4672
2026;3;17;10;42;10;557;1.586;0.648107;2.4672
2026;3;17;10;42;10;609;1.637;0.648107;2.3772
2026;3;17;10;42;10;650;1.678;0.648107;2.4672
2026;3;17;10;42;10;698;1.726;0.648107;2.4672
2026;3;17;10;42;10;745;1.773;0.648107;2.4672
2026;3;17;10;42;10;780;1.808;0.648107;2.4672
2026;3;17;10;42;10;832;1.860;0.648107;2.4672
2026;3;17;10;42;10;875;1.903;0.648107;2.4672
2026;3;17;10;42;10;915;1.944;0.648107;2.4672
2026;3;17;10;42;10;949;1.977;0.648107;2.4672
2026;3;17;10;42;10;996;2.024;0.648107;2.3772
2026;3;17;10;42;11;30;2.059;0.648107;2.3772
2026;3;17;10;42;11;81;2.110;0.648107;2.3772
2026;3;17;10;42;11;131;2.159;0.648107;2.3772
2026;3;17;10;42;11;161;2.189;0.648107;2.3772
2026;3;17;10;42;11;208;2.237;0.648107;2.3772
2026;3;17;10;42;11;251;2.280;0.340696;2.3772
2026;3;17;10;42;11;300;2.328;0.110137;2.3772
2026;3;17;10;42;11;332;2.361;-0.062782;2.3772
2026;3;17;10;42;11;381;2.409;-0.168643;2.4372
2026;3;17;10;42;11;429;2.457;-0.248040;2.4372
2026;3;17;10;42;11;463;2.491;-0.307587;2.4372
2026;3;17;10;42;11;506;2.534;-0.352247;2.4372
2026;3;17;10;42;11;548;2.576;-0.385743;2.4372
2026;3;17;10;42;11;598;2.626;-0.410864;2.4372
2026;3;17;10;42;11;632;2.660;-0.429705;2.4372
2026;3;17;10;42;11;683;2.711;-0.445308;2.4072
2026;3;17;10;42;11;732;2.760;-0.457010;2.4072
2026;3;17;10;42;11;766;2.794;-0.464315;2.4372
2026;3;17;10;42;11;814;2.842;-0.469793;2.4372
2026;3;17;10;42;11;850;2.878;-0.473902;2.4372
2026;3;17;10;42;11;897;2.925;-0.476984;2.4372
2026;3;17;10;42;11;930;2.958;-0.479295;2.4372
2026;3;17;10;42;11;982;3.010;-0.481028;2.4372
2026;3;17;10;42;12;17;3.045;-0.481028;2.4672
2026;3;17;10;42;12;65;3.094;-0.481028;2.4672
2026;3;17;10;42;12;115;3.143;-0.481028;2.4672
2026;3;17;10;42;12;163;3.191;-0.481028;2.4672
2026;3;17;10;42;12;189;3.217;-0.481028;2.4672
2026;3;17;10;42;12;243;3.271;-0.481028;2.4672
2026;3;17;10;42;12;275;3.304;-0.481028;2.4672
2026;3;17;10;42;12;315;3.344;-0.481028;2.4672
2026;3;17;10;42;12;364;3.392;-0.481028;2.4672
2026;3;17;10;42;12;414;3.443;-0.481028;2.4672
2026;3;17;10;42;12;456;3.484;-0.481028;2.4672
2026;3;17;10;42;12;496;3.524;-0.481028;2.4672
2026;3;17;10;42;12;525;3.553;-0.481028;2.4672
2026;3;17;10;42;12;577;3.606;-0.481028;2.4672
2026;3;17;10;42;12;616;3.645;-0.481028;2.4672
2026;3;17;10;42;12;666;3.694;-0.481028;2.4672
2026;3;17;10;42;12;698;3.726;-0.481028;2.4672
2026;3;17;10;42;12;747;3.775;-0.481028;2.4672
2026;3;17;10;42;12;796;3.824;-0.481028;2.4672
2026;3;17;10;42;12;831;3.859;-0.481028;2.4672
2026;3;17;10;42;12;882;3.910;-0.481028;2.4672
2026;3;17;10;42;12;933;3.962;-0.481028;2.4672
2026;3;17;10;42;12;963;3.991;-0.481028;2.4672
2026;3;17;10;42;12;998;4.027;-0.481028;2.4672
2026;3;17;10;42;13;48;4.076;-0.240584;2.4672
2026;3;17;10;42;13;98;4.126;-0.060251;2.4672
2026;3;17;10;42;13;132;4.160;0.075000;2.4672
2026;3;17;10;42;13;184;4.212;0.118557;2.3772
2026;3;17;10;42;13;213;4.241;0.151226;2.3772
2026;3;17;10;42;13;261;4.289;0.175727;2.3772
2026;3;17;10;42;13;309;4.338;0.194103;2.3772
2026;3;17;10;42;13;349;4.377;0.207885;2.3772
2026;3;17;10;42;13;398;4.426;0.218221;2.3772
2026;3;17;10;42;13;439;4.467;0.218221;2.4672
2026;3;17;10;42;13;480;4.508;0.218221;2.4672
2026;3;17;10;42;13;533;4.562;0.218221;2.4672
2026;3;17;10;42;13;557;4.585;0.218221;2.4672
2026;3;17;10;42;13;615;4.643;0.218221;2.4672
